NCWIT Participant,Institution,Different,Same
"Extension Services, Academic Alliance",216,1,0
"Extension Services, Academic Alliance",216,0,0
"Extension Services, Academic Alliance",216,1,0
"Extension Services, Academic Alliance",216,2,0
"Extension Services, Academic Alliance",487,3,5
"Extension Services, Academic Alliance",487,5,9
"Extension Services, Academic Alliance",487,2,5
"Extension Services, Academic Alliance",487,1,8
"Extension Services, Academic Alliance",182,1,22
"Extension Services, Academic Alliance",182,2,13
"Extension Services, Academic Alliance",182,1,15
"Extension Services, Academic Alliance",182,5,13
"Extension Services, Academic Alliance",182,4,14
"Extension Services, Academic Alliance",487,9,17
"Extension Services, Academic Alliance",487,2,11
"Extension Services, Academic Alliance",487,2,8
"Extension Services, Academic Alliance",487,1,16
"Extension Services, Academic Alliance",487,9,20
"Extension Services, Academic Alliance",487,9,34
"Extension Services, Academic Alliance",487,4,9
"Extension Services, Academic Alliance",487,6,12
"Extension Services, Academic Alliance",487,6,6
"Extension Services, Academic Alliance",487,7,5
"Extension Services, Academic Alliance",287,2,4
"Extension Services, Academic Alliance",287,2,4
"Extension Services, Academic Alliance",287,1,3
"Extension Services, Academic Alliance",287,1,4
"Extension Services, Academic Alliance",287,4,7
"Extension Services, Academic Alliance",287,1,8
"Extension Services, Academic Alliance",287,5,6
"Extension Services, Academic Alliance",287,5,6
"Extension Services, Academic Alliance",287,8,8
"Extension Services, Academic Alliance",287,0,0
"Extension Services, Academic Alliance",287,6,7
"Extension Services, Academic Alliance",287,5,2
"Extension Services, Academic Alliance",75,1,4
"Extension Services, Academic Alliance",75,1,4
"Extension Services, Academic Alliance",287,4,11
"Extension Services, Academic Alliance",85,2,4
"Extension Services, Academic Alliance",85,1,4
"Extension Services, Academic Alliance",487,3,3
"Extension Services, Academic Alliance",487,4,2
"Extension Services, Academic Alliance",487,0,2
"Extension Services, Academic Alliance",487,2,1
"Extension Services, Academic Alliance",13,2,2
"Extension Services, Academic Alliance",13,3,6
"Extension Services, Academic Alliance",13,1,3
"Extension Services, Academic Alliance",13,1,6
"Extension Services, Academic Alliance",13,0,0
"Extension Services, Academic Alliance",437,2,21
"Extension Services, Academic Alliance",437,0,29
"Extension Services, Academic Alliance",437,0,26
"Extension Services, Academic Alliance",83,1,3
"Extension Services, Academic Alliance",469,1,5
"Extension Services, Academic Alliance",388,4,21
"Extension Services, Academic Alliance",85,0,4
"Extension Services, Academic Alliance",487,2,2
"Extension Services, Academic Alliance",487,1,5
"Extension Services, Academic Alliance",487,1,5
"Extension Services, Academic Alliance",422,1,0
"Extension Services, Academic Alliance",422,1,2
"Extension Services, Academic Alliance",422,0,0
"Extension Services, Academic Alliance",422,1,2
"Extension Services, Academic Alliance",75,1,2
"Extension Services, Academic Alliance",75,0,1
"Extension Services, Academic Alliance",75,0,1
"Extension Services, Academic Alliance",75,0,0
"Extension Services, Academic Alliance",75,0,0
"Extension Services, Academic Alliance",373,1,2
"Extension Services, Academic Alliance",373,1,1
"Extension Services, Academic Alliance",373,2,2
"Extension Services, Academic Alliance",46,0,0
"Extension Services, Academic Alliance",489,1,1
"Extension Services, Academic Alliance",489,1,1
"Extension Services, Academic Alliance",489,0,0
"Extension Services, Academic Alliance",489,0,2
"Extension Services, Academic Alliance",489,0,1
"Extension Services, Academic Alliance",194,0,2
"Extension Services, Academic Alliance",194,0,3
"Extension Services, Academic Alliance",194,0,3
"Extension Services, Academic Alliance",194,2,4
"Extension Services, Academic Alliance",194,0,2
"Extension Services, Academic Alliance",194,2,2
"Extension Services, Academic Alliance",469,0,7
"Extension Services, Academic Alliance",194,1,2
"Extension Services, Academic Alliance",373,1,8
"Extension Services, Academic Alliance",489,0,0
"Extension Services, Academic Alliance",46,0,0
"Extension Services, Academic Alliance",194,0,2
"Extension Services, Academic Alliance",194,1,1
"Extension Services, Academic Alliance",194,0,1
"Extension Services, Academic Alliance",194,0,0
"Extension Services, Academic Alliance",194,1,1
"Extension Services, Academic Alliance",85,1,4
"Extension Services, Academic Alliance",85,1,2
"Extension Services, Academic Alliance",85,1,8
"Extension Services, Academic Alliance",487,0,1
"Extension Services, Academic Alliance",487,3,4
"Extension Services, Academic Alliance",487,4,11
"Extension Services, Academic Alliance",487,3,8
"Extension Services, Academic Alliance",13,0,4
"Extension Services, Academic Alliance",13,3,0
"Extension Services, Academic Alliance",13,0,2
"Extension Services, Academic Alliance",13,0,0
"Extension Services, Academic Alliance",437,3,16
"Extension Services, Academic Alliance",437,0,32
"Extension Services, Academic Alliance",437,1,23
"Extension Services, Academic Alliance",287,2,7
"Extension Services, Academic Alliance",287,3,6
"Extension Services, Academic Alliance",287,5,7
"Extension Services, Academic Alliance",287,1,6
"Extension Services, Academic Alliance",287,3,5
"Extension Services, Academic Alliance",287,5,9
"Extension Services, Academic Alliance",287,0,6
"Extension Services, Academic Alliance",287,9,1
"Extension Services, Academic Alliance",287,4,3
"Extension Services, Academic Alliance",287,0,0
"Extension Services, Academic Alliance",469,1,3
"Extension Services, Academic Alliance",469,2,7
"Extension Services, Academic Alliance",469,0,4
"Extension Services, Academic Alliance",469,0,2
"Extension Services, Academic Alliance",469,1,6
"Extension Services, Academic Alliance",469,1,4
"Extension Services, Academic Alliance",469,0,6
"Extension Services, Academic Alliance",469,2,9
"Extension Services, Academic Alliance",83,3,1
"Extension Services, Academic Alliance",469,4,16
"Extension Services, Academic Alliance",469,0,3
"Extension Services, Academic Alliance",85,0,5
"Extension Services, Academic Alliance",487,2,13
"Extension Services, Academic Alliance",487,2,7
"Extension Services, Academic Alliance",487,2,5
"Extension Services, Academic Alliance",287,0,3
"Extension Services, Academic Alliance",287,0,9
"Extension Services, Academic Alliance",75,0,3
"Extension Services, Academic Alliance",75,0,3
"Extension Services, Academic Alliance",75,0,2
"Extension Services, Academic Alliance",75,0,2
"Extension Services, Academic Alliance",75,0,2
"Extension Services, Academic Alliance",75,0,3
"Extension Services, Academic Alliance",373,2,6
"Extension Services, Academic Alliance",373,1,2
"Extension Services, Academic Alliance",205,4,1
"Extension Services, Academic Alliance",205,3,1
"Extension Services, Academic Alliance",489,1,2
"Extension Services, Academic Alliance",489,2,2
"Extension Services, Academic Alliance",489,2,0
"Extension Services, Academic Alliance",489,1,1
"Extension Services, Academic Alliance",489,3,1
"Extension Services, Academic Alliance",194,1,8
"Extension Services, Academic Alliance",194,1,4
"Extension Services, Academic Alliance",194,0,10
"Extension Services, Academic Alliance",194,0,6
"Extension Services, Academic Alliance",194,0,2
"Extension Services, Academic Alliance",194,0,8
"Extension Services, Academic Alliance",194,0,9
"Extension Services, Academic Alliance",324,2,7
"Extension Services, Academic Alliance",324,2,3
"Extension Services, Academic Alliance",324,8,9
"Extension Services, Academic Alliance",324,4,4
"Extension Services, Academic Alliance",324,3,4
"Extension Services, Academic Alliance",110,1,14
"Extension Services, Academic Alliance",110,3,17
"Extension Services, Academic Alliance",110,5,25
"Extension Services, Academic Alliance",110,17,22
"Extension Services, Academic Alliance",110,14,19
"Extension Services, Academic Alliance",110,10,21
"Extension Services, Academic Alliance",373,2,5
"Extension Services, Academic Alliance",123,1,4
"Extension Services, Academic Alliance",75,1,5
"Extension Services, Academic Alliance",324,0,6
"Extension Services, Academic Alliance",110,1,27
"Extension Services, Academic Alliance",287,1,12
"Extension Services, Academic Alliance",489,0,3
"Extension Services, Academic Alliance",123,0,3
"Extension Services, Academic Alliance",487,2,4
"Extension Services, Academic Alliance",487,0,2
"Extension Services, Academic Alliance",487,0,3
"Extension Services, Academic Alliance",487,0,5
"Extension Services, Academic Alliance",487,4,23
"Extension Services, Academic Alliance",487,2,10
"Extension Services, Academic Alliance",487,9,22
"Extension Services, Academic Alliance",487,8,24
"Extension Services, Academic Alliance",13,0,5
"Extension Services, Academic Alliance",13,2,8
"Extension Services, Academic Alliance",13,2,8
"Extension Services, Academic Alliance",13,2,6
"Extension Services, Academic Alliance",13,0,0
"Extension Services, Academic Alliance",437,2,28
"Extension Services, Academic Alliance",437,1,46
"Extension Services, Academic Alliance",437,3,33
"Extension Services, Academic Alliance",469,0,18
"Extension Services, Academic Alliance",469,2,15
"Extension Services, Academic Alliance",469,2,6
"Extension Services, Academic Alliance",469,4,15
"Extension Services, Academic Alliance",469,2,21
"Extension Services, Academic Alliance",469,1,27
"Extension Services, Academic Alliance",469,3,24
"Extension Services, Academic Alliance",469,4,19
"Extension Services, Academic Alliance",469,3,16
"Extension Services, Academic Alliance",83,4,16
"Extension Services, Academic Alliance",487,8,28
"Extension Services, Academic Alliance",487,8,35
"Extension Services, Academic Alliance",487,11,40
"Extension Services, Academic Alliance",422,1,15
"Extension Services, Academic Alliance",422,3,9
"Extension Services, Academic Alliance",422,2,16
"Extension Services, Academic Alliance",422,3,20
"Extension Services, Academic Alliance",75,1,3
"Extension Services, Academic Alliance",182,0,9
"Extension Services, Academic Alliance",182,0,19
"Extension Services, Academic Alliance",182,3,29
"Extension Services, Academic Alliance",182,3,16
"Extension Services, Academic Alliance",182,7,29
"Extension Services, Academic Alliance",373,1,3
"Extension Services, Academic Alliance",373,1,10
"Extension Services, Academic Alliance",238,1,2
"Extension Services, Academic Alliance",238,3,1
"Extension Services, Academic Alliance",238,2,5
"Extension Services, Academic Alliance",110,16,15
"Extension Services, Academic Alliance",110,12,26
"Extension Services, Academic Alliance",110,9,26
"Extension Services, Academic Alliance",110,4,28
"Extension Services, Academic Alliance",110,9,21
"Extension Services, Academic Alliance",110,12,23
"Extension Services, Academic Alliance",110,2,50
"Extension Services, Academic Alliance",238,4,6
"Extension Services, Academic Alliance",238,2,6
"Extension Services, Academic Alliance",13,0,3
"Extension Services, Academic Alliance",13,0,2
"Extension Services, Academic Alliance",13,0,0
"Extension Services, Academic Alliance",487,6,4
"Extension Services, Academic Alliance",487,1,8
"Extension Services, Academic Alliance",487,5,11
"Extension Services, Academic Alliance",487,3,6
"Extension Services, Academic Alliance",110,1,12
"Extension Services, Academic Alliance",110,2,14
"Extension Services, Academic Alliance",110,0,9
"Extension Services, Academic Alliance",110,1,17
"Extension Services, Academic Alliance",110,5,17
"Extension Services, Academic Alliance",110,3,19
"Extension Services, Academic Alliance",110,7,55
"Extension Services, Academic Alliance",114,0,1
"Extension Services, Academic Alliance",114,4,3
"Extension Services, Academic Alliance",114,1,1
"Extension Services, Academic Alliance",114,0,1
Academic Alliance,143,1,0
Academic Alliance,120,1,2
Academic Alliance,120,1,5
Academic Alliance,120,4,4
Academic Alliance,120,2,0
